,Year,Disaster Type,Event Name,Country,Total Affected
256,2008,Landslide,,Mexico,
257,2008,Transport accident,Helicopter Bell-212,Mexico,
258,2008,Transport accident,Bi-motor,Mexico,7.0
259,2008,Transport accident,,Mexico,
260,2008,Transport accident,,Mexico,28.0
261,2008,Transport accident,,Mexico,
262,2008,Transport accident,,Mexico,20.0
263,2008,Transport accident,,Mexico,5.0
264,2008,Miscellaneous accident,,Mexico,20.0
265,2008,Flood,Tropical Depression Sixteen,Nicaragua,10663.0
266,2008,Storm,Alma,Nicaragua,25000.0
267,2008,Flood,,Panama,545.0
268,2008,Transport accident,Helicopter,Panama,
269,2008,Flood,Tropical Depression Sixteen,El Salvador,3000.0
270,2008,Transport accident,,El Salvador,40.0
271,2009,Transport accident,,Mexico,18.0
272,2009,Transport accident,,Mexico,66.0
273,2009,Industrial accident,Gas intoxication,Mexico,1.0
274,2009,Miscellaneous accident,Nursery,Mexico,30.0
275,2009,Drought,,Guatemala,2500000.0
276,2009,Drought,,Honduras,45000.0
277,2009,Epidemic,Dengue,Honduras,11771.0
278,2010,Storm,Tropical storm Matthew,Guatemala,
279,2010,Flood,,Costa Rica,106.0
280,2010,Flood,,Costa Rica,3000.0
281,2010,Flood,,Guatemala,3270.0
282,2010,Storm,Hurricane Agatha,Guatemala,397962.0
283,2010,Flood,,Honduras,1610.0
284,2010,Storm,Tropical storm Matthew,Honduras,
285,2010,Storm,Tropical storm Matthew,Belize,
286,2010,Volcanic activity,Pacaya volcano,Guatemala,1800.0
287,2010,Landslide,,Guatemala,50696.0
288,2010,Storm,"Tropical storm ""Alex""",Guatemala,2180.0
289,2010,Transport accident,,Guatemala,
290,2010,Flood,,Honduras,3400.0
291,2010,Storm,Hurricane Agatha,Honduras,24675.0
292,2010,Epidemic,Dengue,Honduras,27000.0
293,2011,Flood,,Guatemala,6075.0
294,2011,Storm,"Tropical storm ""Dora""",Guatemala,
295,2011,Transport accident,,Guatemala,50.0
296,2011,Transport accident,Bimoteur Let 410,Honduras,
297,2009,Storm,"Hurricane ""Ida""",El Salvador,90000.0
298,2009,Storm,Hurricane Jimena,Mexico,72000.0
299,2009,Flood,,Mexico,18000.0
300,2009,Flood,,Nicaragua,64.0
301,2009,Flood,,Panama,4248.0
302,2009,Storm,"Hurricane ""Ida""",Nicaragua,19897.0
303,2009,Flood,,Mexico,1500.0
304,2009,Flood,,Mexico,107670.0
305,2009,Flood,,Mexico,13014.0
306,2009,Flood,,Mexico,
307,2009,Storm,"Hurricane ""Ida""",Mexico,40000.0
308,2009,Epidemic,Dengue,Mexico,41687.0
309,2009,Flood,,Nicaragua,6821.0
310,2009,Epidemic,Dengue,Nicaragua,2050.0
311,2009,Transport accident,,Panama,10.0
312,2009,Epidemic,Dengue,El Salvador,4598.0
313,2009,Drought,,El Salvador,
314,2010,Storm,Tropical storm Matthew,Mexico,1075.0
315,2010,Storm,Hurricane Agatha,El Salvador,11520.0
316,2010,Flood,,Mexico,20000.0
